#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202604201644   271  304.9    4.3  320.8    7.4  287.6    2.4   17.9    0.0    0.0    0.0    0.0    0.0   61.7  969.3 1006.6   10.4
202604201644   272  260.0    1.0  284.2    1.7  275.0    2.5   16.1    0.0    0.0    0.0    0.0    0.0   80.0  983.0 1007.6   12.7
202604201644   273  299.0    3.4  287.1    4.8  301.1    3.9   16.6    0.0    0.0    0.0    0.0    0.0   75.7  987.7 1007.9   12.3
202604201644   276  297.6    5.8  289.8    8.1  292.1    5.3   18.7    0.0    0.0    0.0    0.0    0.0   63.6  982.8 1006.9   11.7
202604201644   277  300.6    5.5  284.2    7.6  293.0    5.4   21.5    0.0    0.0    0.0    0.0    0.0   52.1 1001.6 1006.3   11.3
202604201644   278  305.6    1.8  304.0    2.2  296.4    1.9   19.2    0.0    0.0    0.0    0.0    0.0   64.7  997.8 1007.3   12.4
202604201644   279  289.7    2.9  318.6    5.3  297.0    3.5   18.2    0.0    0.0    0.0    0.0    0.0   67.0 1003.2 1009.0   12.0
202604201644   281  295.4    2.1  306.7    2.8  295.5    2.0   19.6    0.0    0.0    0.0    0.0    0.0   63.2  996.8 1007.9   12.4
202604201644   283  285.6    2.8  271.8    3.8  288.5    2.8   20.3    0.0    0.0    0.0    0.0    0.0   63.7 1002.9 1007.6   13.2
202604201644   284  307.5    6.1  317.9    7.6  315.1    4.4   18.0    0.0    0.0    0.0    0.0    0.0   70.9  982.2 1008.6   12.6
202604201644   285  231.8    1.3  247.6    2.8  230.2    1.1   20.4    0.0    0.0    0.0    0.0    0.0   63.9 1006.0 1009.1   13.3
202604201644   288  260.6    2.9  236.5    3.8  260.0    3.1   21.5    0.0    0.0    0.0    0.0    0.0   62.1 1005.5 1006.5   13.9
202604201644   289  298.2    2.2  332.1    5.1  312.0    3.2   17.9    0.0    0.0    0.0    0.0    0.0   72.6  994.6 1010.7   12.9
202604201644   294  274.8    1.3  278.6    2.5  229.6    2.3   19.8    0.0    0.0    0.0    0.0    0.0   69.9 1004.3 1009.5   14.2
202604201644   295  339.9    1.2  329.1    2.1  317.8    2.5   19.9    0.0    0.0    0.0    0.0    0.0   65.4 1004.6 1009.9   13.2
202604201644   296  207.0    2.7  196.7    4.1  202.9    3.5   20.3    0.0    0.0    0.0    0.0    0.0   78.9 1007.4 1007.7   16.5
202604201644   300  340.0    9.9  344.2   11.6  339.6   10.0    9.8    0.0    0.0    0.0    0.5    0.5   75.2 1008.5 1013.9    5.6
202604201644   301  333.0    3.4  325.0    6.1  331.7    3.1   10.6    0.0    0.0    0.0    0.0    0.0   80.4 1013.0 1014.1    7.4
202604201644   302    7.0    4.4   18.0    5.9    2.3    5.0   12.0    0.0    0.0    0.0    0.0    0.0   80.8 1013.6 1014.3    8.8
202604201644   303  312.2   12.4  316.4   15.6  310.4   13.2   10.4    0.0    0.0    0.0    0.0    0.0   87.9 1001.2 1014.0    8.5
202604201644   304  353.0    6.0  356.0    7.3  354.3    6.8   15.4    0.0  -99.9  -99.9  -99.9  -99.2   79.6 1009.3 1012.3   11.9
202604201644   305   70.2    3.0   70.2    3.7   70.2    3.8   15.1    0.0    0.0    0.0    0.0    0.0   90.7 1009.0 1013.2   13.6
202604201644   306  192.6    1.8  218.7    3.5  255.0    4.2   19.1    0.0    0.0    0.0    0.0    0.0   71.0 1009.1 1009.5   13.7
202604201644   308  333.7    9.7  335.2   10.1  340.5    8.4   11.3    0.0  -99.9  -99.9  -99.9  -99.2   90.9 1012.0 1013.0    9.9
202604201644   309  302.4    2.8  289.1    4.1  284.2    3.2   14.6    0.0    0.0    0.0    0.0    0.0   27.1 1007.3 1010.3   -4.1
202604201644   310  147.5    2.3   95.0    2.9  129.0    3.0   21.7    0.0    0.0    0.0    0.0    0.0   50.0 1001.7 1003.3   10.8
202604201644   311  102.0    1.1  224.0    1.8  199.4    0.7   15.8    0.0    0.0    0.0    0.0    0.0   71.5  941.0 1010.0   10.7
202604201644   312  200.1    2.5  195.3    3.5  210.6    1.6   18.7    0.0    0.0    0.0    0.0    0.0   60.4  976.8 1006.9   10.9
202604201644   313  255.0    4.5  289.0    7.1  242.6    2.0   20.1    0.0    0.0    0.0    0.0    0.0   66.2 1000.2 1008.3   13.6
202604201644   314  264.6    7.6  272.9   11.2  264.3    6.6    6.0    1.0    0.0    1.0    1.5    1.5   99.6  841.5 1009.6    5.9
202604201644   315  334.0    1.6   79.0    2.8  348.5    1.7    9.5    1.0    0.5    0.5    2.5    2.5   98.3  888.3 1011.2    9.2
202604201644   316  323.0    3.8  330.0    7.3  319.1    3.3    7.8    0.0    0.0    0.0    4.5    4.5  100.0  907.9 1012.9    7.8
202604201644   317   86.5    1.3  120.1    1.7  112.3    1.2   10.4    0.0    0.0    0.0    0.5    0.5   85.8  999.9 1012.7    8.1
202604201644   318  242.8    3.0  239.9    6.8  212.3    2.8   11.0    0.0    0.0    0.0    0.0    0.0   85.6  908.9 1005.6    8.7
202604201644   319  163.6    7.3  143.7   11.7  178.5    6.0   19.5    0.0    0.0    0.0    0.0    0.0   64.5  997.5 1004.2   12.6
202604201644   320  276.6    9.7  238.6   16.2  279.6    9.5    6.4    0.0    0.0    0.0    0.0    0.0   98.5  862.1 1003.7    6.2
202604201644   321  223.7    3.2  210.1    4.4  249.0    2.7   14.6    0.0    0.0    0.0    2.0    2.0   78.5  976.8 1006.4   10.9
202604201644   322   32.3    4.4   35.5    5.5  323.8    3.5   12.4    0.0    0.0    0.0    0.0    0.0   75.2  982.0 1008.4    8.1
202604201644   323  272.8    8.3  281.0   10.0  274.9    7.0   12.9    0.0    0.0    0.0    0.5    0.5   53.1  976.2 1008.7    3.6
202604201644   324  331.5    2.7  321.8    4.9  316.9    1.9   14.0    1.0    0.0    0.0    1.5    1.5   88.4  991.3 1009.7   12.1
202604201644   325  261.0    3.9  307.0    6.3  250.8    3.4   12.9    0.0    0.0    0.5    2.0    2.0   78.0  982.6 1009.9    9.2
202604201644   326  114.2    2.2  121.8    3.1  120.3    1.5   13.3    0.0    0.0    0.0    0.0    0.0   77.5  985.6 1008.2    9.5
202604201644   327  313.2    1.4  334.5    2.0  303.7    1.6   13.7    1.0    0.0    0.0    0.0    0.0   80.8  998.5 1010.0   10.5
202604201644   328  333.7    6.2  322.8    8.4  331.0    5.9   19.1    0.0    0.0    0.0    0.0    0.0   69.8 1004.7 1011.8   13.5
202604201644   329  289.8    2.6  277.9    3.5  265.6    2.8   12.2    0.0    0.0    0.5    1.5    1.5   98.5  969.2 1013.5   12.0
202604201644   330  296.8    4.3  306.7    5.8  283.1    3.9   13.3    0.0    0.0    0.5    1.0    1.0   98.6  996.4 1013.6   13.1
202604201644   331  312.6    6.6  348.0    9.6  307.9    6.4   15.7    0.0    0.0    0.0    0.0    0.0   89.7  960.6 1010.3   14.0
202604201644   332  203.9    6.6  193.0    9.9  205.5    4.3   21.5    0.0    0.0    0.0    0.0    0.0   47.9  998.1 1003.8   10.0
202604201644   333  236.0    3.4  232.9    5.3  220.5    3.6   21.6    0.0    0.0    0.0    0.0    0.0   47.6 1001.3 1003.1   10.0
202604201644   334  140.1    2.5  254.2    4.5  234.6    3.3   21.4    0.0    0.0    0.0    0.0    0.0   44.2  998.8 1001.6    8.7
202604201644   335  267.5    4.2  268.6    6.8  265.7    4.1   12.0    0.0    0.0    0.0    2.0    2.0   86.5  961.7 1009.2    9.8
202604201644   336  215.8    5.4  211.7    8.5  215.0    5.2   14.0    0.0    0.0    0.0    0.0    0.0   85.4  983.9 1008.7   11.6
202604201644   337  258.8    3.4  277.0    5.6  254.5    2.7   13.2    0.0    0.0    0.0    1.0    1.0   86.2  985.5 1009.4   10.9
202604201644   338  179.5    2.1  197.8    4.1  193.3    2.4   11.6    0.0    0.0    0.0    2.0    2.0  100.0  952.9 1009.6   11.6
202604201644   339  231.6    0.9  278.1    2.0  239.9    1.6   13.2    0.0    0.0    0.0    0.5    0.5   89.1  979.6 1009.2   11.4
202604201644   340  236.0    2.1  239.2    3.2  210.7    1.6   14.6    0.0    0.0    0.0    0.0    0.0   90.4  993.1 1009.3   13.0
202604201644   341  269.7    3.9  260.7    5.1  254.6    3.6    9.7    0.0    0.0    0.0    2.0    2.0   87.1 1009.8 1013.8    7.7
202604201644   342  318.0    3.1  324.4    4.0  330.3    2.4   11.7    0.0    0.0    0.0    0.0    0.0   82.4 1007.2 1013.1    8.8
202604201644   343  244.5    2.9  246.0    3.9  281.8    2.0   15.3    0.0    0.0    0.0    0.0    0.0   45.3  999.9 1009.9    3.5
202604201644   344  224.0    1.3  277.0    2.5  246.4    3.1   13.6    1.0    0.0    0.5    1.5    1.5   84.6  996.5 1010.3   11.1
