#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202603021400 143  11  6.2  -9 -9.0   -9 1013.1 1019.8 -9  -9.0   7.2   4.6  84.0   8.5   -9.0    3.5    3.5   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   8    7 StNs      -9   2   7  2365  0.0  0.80 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 146   7  5.1  -9 -9.0   -9 1007.3 1014.7 -9  -9.0   8.3   4.4  77.0   8.4   -9.0    8.7    8.7   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   2    5 StNs      -9   2   7  4456  0.0  0.64 -9  10.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 152   7  4.3  -9 -9.0   -9 1010.6 1020.6 -9  -9.0   7.2   4.3  82.0   8.3   -9.0    2.9    2.9   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   9    7 StNs      -9   2   7  1426  0.0  0.20 -9   7.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 155   2  2.4  -9 -9.0   -9 1014.1 1018.4 -9  -9.0   7.4   5.6  89.0   9.1   -9.0    4.6    4.6   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   7    7 StNs      -9   2   7  1351  0.0  0.25 -9   8.8 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  4  1
202603021400 156   5  5.2   2 13.0 1318 1002.9 1011.4 -9  -9.0   9.3   7.4  88.0  10.3   -9.0   12.2   12.2   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   3    6 StNs      -9   2   7  2543  0.0  0.61 -9  12.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 159   7  4.4   9 11.0 1323 1009.7 1018.2 -9  -9.0   7.8   6.0  89.0   9.3   -9.0    4.3    4.3   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   9    6 StNs      -9   2   7  1161  0.0  0.27 -9   8.6   8.5   8.2   7.9   8.3  -9  0.5 -9  4  1
202603021400 162   2  3.1  -9 -9.0   -9 1012.3 1016.1 -9  -9.0   7.4   5.8  90.0   9.2   -9.0    6.1    6.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    5 -         -9  -9  -9  1173  0.0  0.29 -9   9.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 165   9  4.9   5 12.0 1348 1005.9 1011.3 -9  -9.0   8.6   7.0  90.0  10.0   -9.0   17.7   17.7   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   5    8 StNs      -9   2   7  1252  0.0  0.48 -9  10.2   8.4   8.3   8.4   8.6  -9  0.5 -9  4  1
202603021400 168   9 11.5   9 23.0 1308 1006.8 1014.9 -9  -9.0   7.0   5.1  88.0   8.8   -9.0   17.6   17.6   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   5    4 StNs      -9   2   7  2123  0.0  0.64 -9   8.3   7.3   7.6   8.0   8.3  -9  1.0 -9  4  1
202603021400 169   2  5.7  -9 -9.0   -9 1002.5 1011.7 -9  -9.0   6.7   6.2  97.0   9.5   -9.0   32.7   32.7   -9.0   -9.0   -9.0   -9.0 63 66 1901                    10   8    1 StNs      -9   2   7   238  0.0  0.30 -9   7.1 -99.0 -99.0 -99.0 -99.0  -9  1.5 -9  4  1
202603021400 170   9  7.3  14 14.0 1335 1007.4 1011.7 -9  -9.0   7.8   6.7  93.0   9.8   -9.0   23.3   23.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    4 -         -9  -9  -9  1824  0.0  0.29 -9   9.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 172   5  3.5  -9 -9.0   -9 1005.6 1012.0 -9  -9.0   9.2   7.4  89.0  10.3   -9.0   13.3   13.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1    7 -         -9  -9  -9  1294  0.0  0.51 -9   9.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 174  14  3.1  -9 -9.0   -9  992.8 1012.8 -9  -9.0   7.8   4.7  81.0   8.5   -9.0   14.7   14.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   2    6 -         -9  -9  -9  2634  0.0 -9.00 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 177   5  5.7  -9 -9.0   -9 1013.7 1017.1 -9  -9.0   5.9   4.0  88.0   8.1   -9.0    8.3    8.3   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   6    7 StNs      -9   2   7   947  0.0  0.27 -9   6.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 181   9  3.6  -9 -9.0   -9 1015.0 1019.2 -9  -9.0   6.1   2.7  79.0   7.4   -9.0    3.0    3.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1    9 -         -9  -9  -9  2544  0.0  0.59 -9   7.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 184   9  7.2  11 15.0 1328 1006.0 1008.5 -9  -9.0  11.8   9.1  84.0  11.6   -9.0   19.8   19.8   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   8    3 StNs      -9   2   7   340  0.0  0.47 -9  12.7  11.4  11.5  11.3  11.1  -9  2.5 -9  4  1
202603021400 185   9  6.8   9 15.0 1321  998.2 1006.6 -9  -9.0  15.5  10.0  70.0  12.3   -9.0    5.6    5.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4    9 -         -9  -9  -9  5000  0.0  0.65 -9  13.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202603021400 188   7  7.0   9 17.0 1350 1008.2 1010.6 -9  -9.0  12.2  10.9  92.0  13.0   -9.0   19.3   19.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   6    3 -         -9  -9  -9   723  0.0 -9.00 -9  11.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 189   7  5.7   9 15.0 1338 1003.6 1009.8 -9  -9.0  12.0  10.7  92.0  12.9   -9.0   39.2   39.2   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   8    3 StNs      -9   2   7   649  0.0  0.21 -9  12.4 -99.0 -99.0 -99.0 -99.0  -9  2.5 -9  4  1
202603021400 192   2  1.7  -9 -9.0   -9 1014.5 1018.1 -9  -9.0   6.5   4.9  90.0   8.7   -9.0   11.8   11.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    3 -         -9  -9  -9  1622  0.0  0.38 -9   8.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 201   7  5.0  -9 -9.0   -9 1014.8 1020.8 -9  -9.0   3.2   2.4  95.0   7.3   -9.0    8.5    8.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    3 -         -9  -9  -9  1327  0.0 -9.00 -9   5.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 202  14  2.0  -9 -9.0   -9 1015.5 1021.4 -9  -9.0   6.0   2.6  79.0   7.4   -9.0    3.8    3.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   2    5 -         -9  -9  -9  1607  0.0 -9.00 -9   8.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 203   2  1.3  -9 -9.0   -9 1011.5 1021.5 -9  -9.0   5.0   4.7  98.0   8.5   -9.0    6.5    6.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    5 -         -9  -9  -9  1205  0.0 -9.00 -9   7.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 211   2  5.0   2 11.0 1330  998.3 1023.5 -9  -9.0   2.5   0.2  85.0   6.2   -9.0    1.2    1.2   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4   13 -         -9  -9  -9  1692  0.0 -9.00 -9   5.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 212   7  2.0  -9 -9.0   -9 1005.1 1022.5 -9  -9.0   4.9   2.0  82.0   7.1   -9.0    1.4    1.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1    5 -         -9  -9  -9  1986  0.0 -9.00 -9   9.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 216   2  3.4  -9 -9.0   -9  938.1 1024.8 -9  -9.0   0.4  -0.4  94.0   5.9   -9.0    9.8    9.8   -9.0   -9.0   -9.0    6.3 -9 -9 -                       10  10    2 -         -9  -9  -9    78  0.0  0.25 -9   0.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 217   2  3.7  -9 -9.0   -9  985.5 1024.0 -9  -9.0   3.1   0.0  80.0   6.1   -9.0    2.4    2.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   -9 -         -9  -9  -9  1254  0.0 -9.00 -9   5.1   3.8   3.4   3.2   3.3  -9 -9.0 -9  1 -9
202603021400 221   5  4.4  -9 -9.0   -9  989.2 1021.8 -9  -9.0   4.2   2.7  90.0   7.4   -9.0    1.0    1.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   72 -         -9  -9  -9   908  0.0 -9.00 -9   6.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 226  18  2.8  -9 -9.0   -9  998.5 1019.6 -9  -9.0   5.4   3.2  86.0   7.7   -9.0    3.3    3.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    4 -         -9  -9  -9  1511  0.0 -9.00 -9   7.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 232   9  5.5   7 10.0 1304 1009.0 1019.5 -9  -9.0   6.1   3.9  86.0   8.1   -9.0    5.1    5.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    7 -         -9  -9  -9  2635  0.0 -9.00 -9   8.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 235   5  5.3   5 11.0 1350 1013.8 1015.0 -9  -9.0   6.9   4.2  83.0   8.2   -9.0   12.0   12.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8   14 -         -9  -9  -9   783  0.0  0.37 -9   7.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 236   7  3.8  -9 -9.0   -9 1015.3 1017.0 -9  -9.0   7.0   3.9  81.0   8.1   -9.0    9.0    9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    6 -         -9  -9  -9  1425  0.0 -9.00 -9   8.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 238   9  3.5  -9 -9.0   -9  996.9 1017.8 -9  -9.0   6.0   4.1  88.0   8.2   -9.0   11.0   11.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4    5 -         -9  -9  -9  1565  0.0 -9.00 -9   8.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 239  11  4.0  -9 -9.0   -9 1007.1 1018.2 -9  -9.0   5.7   3.8  88.0   8.0   -9.0    7.4    7.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   5    5 -         -9  -9  -9   885  0.0  0.52 -9   7.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 243   7  3.3  -9 -9.0   -9 1012.3 1013.8 -9  -9.0   9.0   6.6  85.0   9.7   -9.0   11.7   11.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4   19 -         -9  -9  -9  1531  0.0 -9.00 -9  10.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 244  18  5.3  11 13.0 1355  984.7 1014.5 -9  -9.0   7.7   3.5  75.0   7.8   -9.0    7.8    7.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   22 -         -9  -9  -9  2126  0.0 -9.00 -9   9.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 245   2  2.9  -9 -9.0   -9 1004.8 1013.2 -9  -9.0   8.4   4.9  79.0   8.7   -9.0   11.1   11.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   21 -         -9  -9  -9  1934  0.0  0.46 -9   9.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 247   9  9.8   9 17.0 1356  997.5 1013.8 -9  -9.0   6.4   2.4  76.0   7.3   -9.0    5.5    5.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4    7 -         -9  -9  -9  3438  0.0 -9.00 -9   6.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 248   5  3.9  -9 -9.0   -9  968.2 1017.3 -9  -9.0   5.5   1.9  78.0   7.0   -9.0   11.0   11.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1    6 -         -9  -9  -9  2594  0.0 -9.00 -9   7.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 251   5  3.0  -9 -9.0   -9 1005.2 1012.4 -9  -9.0   8.6   5.6  82.0   9.1   -9.0   11.9   11.9   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9  1504  0.0  0.51 -9  10.0   8.6   8.0   7.6   7.5  -9 -9.0 -9  1 -9
